number of bedrooms,number of bathrooms,living area,lot area,number of floors,Area of the basement,living_area_renov,lot_area_renov,Distance from the airport,Price,condition of the house
4,2.5,2370,10631,2,0,2200,8297,76,338000,3
3,2,2440,23512,1,800,1630,19613,75,338000,3
4,2.5,2370,6000,2,0,2190,6070,58,335000,3
4,2.25,2430,7490,2,0,2070,7469,59,330000,3
4,2.5,2510,8580,2,0,2290,7809,53,330000,4
3,1,1130,7200,1.5,0,1350,1358,76,316000,4
4,2.5,2280,3800,2,0,2630,4045,67,305000,3
3,2.5,1750,4200,2,0,1890,4048,65,300000,3
2,1,860,8189,1,0,1180,8189,63,298800,3
3,1.75,1500,15246,1,0,1500,16988,78,295000,3
3,2.25,1500,7308,1,290,1480,7400,58,290000,4
3,1.5,1310,8100,1,0,1330,8100,72,290000,3
2,1.5,1020,1275,3,0,980,1415,51,290000,3
3,2.25,2200,8375,2,0,2200,10002,54,285167,3
4,1.5,1930,15000,1,0,1620,7500,72,270000,5
3,1.75,1480,8009,1,500,1790,7678,67,268000,3
1,1,800,2480,1,0,1490,4650,65,267000,4
4,2,1540,10212,1.5,0,1480,10212,59,259950,5
4,2.5,2600,11280,1.5,1030,1660,11200,56,252500,3
3,1.5,1800,9216,1,0,1400,10022,51,237000,4
3,1.5,1380,7600,1,590,1570,7904,69,235500,4
3,1,1210,6000,1,0,1210,6000,73,235000,3
3,1.75,1900,8910,2,0,1610,8586,79,229950,4
3,2.5,1750,7490,1,570,1570,7490,50,225000,4
3,1,1220,6000,1,0,1420,6000,59,213500,4
3,1,1000,12070,1,0,1010,12635,56,204000,4
3,1.5,1190,8726,1,0,1390,8741,66,195000,3
3,1.5,1630,22764,1,0,1620,17859,80,165000,3
1,0.75,480,9750,1,0,1550,9924,71,145000,2
4,4,4810,18851,2,0,3970,19929,54,3200000,3
3,2.75,3050,9050,1,720,4110,20336,53,2000000,3
4,3,3600,9687,2,0,2620,10400,50,1700000,4
4,3.25,3820,8114,2,0,2440,9195,51,1620000,3
4,3.75,3880,9979,2.5,0,3130,6112,62,1060000,3
4,3,3560,4000,3,590,1190,4000,68,1050000,3
5,4.5,4130,10404,2,0,3890,11531,53,998000,3
4,2.75,3140,7258,2,0,2990,13600,54,920000,3
3,2.5,2040,6000,1,200,1820,4920,73,872500,3
4,2.5,3370,9629,2,0,3360,10335,59,806000,3
4,2.5,3160,35225,2,910,3460,17223,63,805000,3
4,2,2130,2800,1,1060,1990,3990,55,800000,5
4,2.25,2580,21115,2,0,2690,10165,51,787888,4
3,1.75,2320,6400,1,900,2540,7680,77,779000,4
4,2.5,3150,5979,2,0,3150,6595,66,762500,3
4,2.5,2730,10753,2,0,3090,10740,50,756000,3
4,2,1960,4520,1,1000,1680,4520,51,745000,3
6,2.25,3140,10250,1,1570,2320,10250,78,740000,4
3,3.25,2960,39370,2,0,2960,56628,67,735000,3
4,3.5,3490,87497,2,0,2400,55657,54,728000,3
3,2,2880,5100,1.5,800,1820,5100,52,660000,4
5,2.5,2530,10190,1,1240,2040,8560,50,657000,4
3,2.5,2790,6720,2,0,2620,6720,50,650000,3
4,3.5,3080,118918,2,0,1830,434728,70,637000,3
3,1,1360,13000,1,0,1890,19650,54,630000,5
3,2,1940,3800,1,890,1700,3800,66,627000,4
4,2.75,3470,212639,2,1400,2370,233917,52,598600,3
3,2,1530,6773,1,0,2240,7201,57,595000,4
3,2.5,1750,4797,2,0,1750,4293,59,575000,4
4,2.5,3230,5899,2,0,2720,5899,50,569950,3
3,2.5,1940,3211,2,0,1880,3078,77,555000,3
5,1,2150,262231,1.5,0,1460,46609,59,550000,3
4,2.5,2470,5954,2,0,2470,4800,60,550000,3
3,2,1560,5130,1,410,1560,4500,52,549000,5
3,2,2040,5600,1,920,2120,4958,79,535000,5
3,2.5,2340,35021,1,0,2630,35190,76,525000,3
4,2.5,2900,4950,2,0,2590,4950,58,520000,3
4,2.5,2320,4000,1.5,810,1490,4500,70,518000,5
4,2.5,2890,15067,2,0,3090,15398,50,515000,3
2,2.25,1570,1269,2,290,1570,6000,66,500000,3
4,2.25,2350,7210,1.5,0,1930,7519,64,500000,4
4,2.5,2040,6685,2,0,1890,8253,65,500000,3
2,1.75,1810,4220,2,0,1350,4479,56,489000,3
2,1,1030,3060,1,240,1390,3060,53,480000,4
4,2.25,2520,2370,2,830,1530,2370,57,480000,3
5,2.5,2080,8347,1,620,1840,7713,57,474950,4
4,2.75,2150,9820,1,930,2060,9830,71,470000,4
4,2,1560,3840,1,600,1560,4800,70,459000,4
2,1,910,5000,1,0,1480,5000,63,450000,4
3,1.75,1300,4800,2,0,1300,4800,74,448500,4
3,2.75,2180,3703,2,0,2190,3963,80,445000,3
4,1,1780,4000,1.5,0,1750,4000,80,440000,3
4,3,2010,8171,2,0,2090,8203,75,434000,3
2,2,1390,12530,1,420,1940,12530,56,431000,3
4,1.75,1710,7724,1,0,1940,7724,77,430000,3
3,1.5,1550,5034,2,0,1820,7200,74,430000,4
4,2.5,2750,7200,2,0,2750,7200,64,430000,3
2,1,1430,13300,1.5,200,1950,11421,75,425000,3
3,1.5,1390,9680,1,0,1460,10050,73,425000,4
2,1,820,4025,1,0,1410,5750,60,420000,5
4,2.5,2480,8626,2,0,2990,9033,60,420000,3
3,2.25,2020,21010,2,0,1850,18151,64,420000,3
3,2.5,1570,4926,2,0,1800,3202,55,417000,3
3,1.5,1260,9570,1,390,1620,7000,68,414900,3
4,2.5,3490,9030,1.5,0,2540,8400,71,414000,4
3,2,1740,9300,1,0,1540,9638,67,410000,4
3,2.5,1509,1114,3,0,1509,2431,60,401500,3
3,1.75,1330,9143,1,0,1950,10384,52,400000,3
3,1.75,1730,9211,1,0,1440,9211,70,400000,3
3,1,1470,7930,1,400,1440,8100,50,399950,3
3,3,2240,10479,2,530,1530,5244,79,399000,4
2,2.5,1860,3504,2,0,1860,4246,54,380000,3
2,1.5,1010,2102,2,0,1480,2632,50,370000,3
3,2.5,2850,12593,2,0,2850,9435,71,364988,3
4,1.75,1850,5712,1,0,1510,6038,51,352000,3
2,1.5,2060,10880,1,870,1430,8781,63,348140,3
3,3.25,1600,1882,2,240,1390,1379,67,345000,3
5,2,2130,8412,1,690,2310,7474,57,344000,3
4,2.5,2520,7205,2,0,2350,7632,71,335000,3
3,1,1590,12040,1,500,1540,10500,50,325000,3
3,2,1820,17600,1,0,2190,17440,55,320000,5
3,2.25,1358,1204,3,0,1358,1196,59,317000,3
3,1.75,1870,8400,1,880,1750,8400,66,315500,3
3,2.5,2370,6752,2,0,1870,7455,61,310000,3
5,2.25,1980,13132,1,720,1880,11325,70,307700,4
3,2,1390,5127,1,0,1960,5019,61,297950,3
3,1.75,1550,4057,1,720,1100,4116,56,294010,3
3,1,1010,10800,1,0,1370,9500,50,290000,4
3,2.5,2110,8304,1,0,1680,7508,64,289000,4
3,2.5,1610,6000,2,0,1570,6000,51,282000,4
3,2.25,1760,8287,1,600,1290,9587,57,270000,3
3,2,1640,8395,1,0,1510,7180,69,269500,4
3,2.5,1700,2250,2,0,1520,4500,67,268000,3
3,1.75,1420,8250,1,0,1740,8000,61,265000,3
4,2.25,2300,9100,1,1020,1640,9100,56,265000,3
3,1.75,1630,5999,1.5,0,1540,7500,55,265000,4
3,1,1790,11884,1,0,1660,11513,51,260000,3
3,2,1300,9334,1,0,2210,9636,62,257500,5
2,1,1610,19965,1,0,2100,28400,64,255000,3
4,2,2180,8800,1,1010,1630,8800,64,254950,5
2,1,910,6000,1,0,1460,5800,51,254000,3
3,2.25,1740,10836,1,830,2090,7500,54,252000,3
3,2,1300,8400,1,0,1300,7500,65,251000,4
3,2.25,1560,15340,2,0,1560,8260,59,250000,3
3,2.5,2070,8400,2,0,2070,9239,57,250000,4
3,1.75,1520,9600,1,0,2060,9600,77,240000,3
2,1,820,5100,1,0,2270,5100,79,235000,4
2,1,910,7617,1,0,1310,6624,52,235000,3
2,1,2150,4500,1.5,890,1590,5010,80,235000,3
3,1,880,7500,1,0,880,7500,65,230000,3
2,1,860,9000,1,0,990,9975,70,216000,4
4,1.75,1250,12705,1,0,1390,8550,75,212000,4
3,1,1080,10200,1,0,1230,10400,50,207000,4
3,1,1370,10708,1,0,1770,14482,55,205000,3
2,0.75,1130,11429,1,0,1550,10700,55,204950,3
2,1,600,4854,1,0,1470,5000,64,174000,5
1,1,610,4400,1,0,1090,4930,51,126000,3
4,3.5,4285,9567,2,800,2960,6902,71,1650000,5
4,3,3050,6179,2,720,3020,6505,77,1480000,4
4,3.75,3830,41263,2,0,5600,56568,51,1250000,4
4,3.5,4560,16643,1,2330,4060,15177,72,1200000,3
4,3,3410,6541,2,730,2300,6345,76,1090000,3
4,3.5,4210,6481,2,950,3920,5331,73,1050000,3
3,2.5,3400,5119,2,1100,1740,5969,80,1050000,3
4,3.75,4133,361548,2,0,1970,291416,52,979500,3
3,2.5,2830,3750,3,0,1780,5100,67,969950,3
5,3.25,3250,14342,2,0,2960,11044,55,951000,4
3,2,2250,2975,2,370,2690,4800,72,950000,4
3,2.5,3080,8448,2,0,2500,6400,70,950000,3
4,3.5,3510,11200,2,0,3600,12124,52,935000,3
4,3.5,2980,3000,2,640,1810,4545,56,905000,3
5,3,4350,37169,2,1400,3280,41631,71,900000,3
2,1,1150,12775,1,0,2440,11852,51,825000,4
3,2.5,2550,6240,1,800,2180,5200,64,808000,5
4,2.75,3640,231739,1.5,0,2670,91040,63,780000,3
2,2.5,2170,6750,1,0,2150,6074,64,765000,3
4,1.75,2530,5000,1.5,460,1950,3600,76,720000,5
4,2.25,2480,9780,1,580,2640,9780,65,716000,4
3,2.5,2740,18455,2,1230,2840,16438,65,699000,4
3,2.5,2680,5497,2,0,2780,5497,54,699000,3
2,1.75,1570,1207,3,0,1570,1206,67,695000,3
3,2.25,2430,8327,1,1000,2550,10427,64,690000,4
2,1.5,1995,115670,1.5,0,2142,29375,74,645000,4
3,2.5,2220,2550,3,0,2200,5610,58,641250,3
4,1.75,2020,16120,1,0,1940,16350,56,640000,3
5,2.5,2260,10087,1,740,2500,9440,63,632000,3
3,2.5,2330,3141,2,0,1980,5265,57,625000,3
3,2.5,2260,4550,1.5,880,1870,4582,54,622500,4
4,2.5,2120,3640,2,0,2190,3640,58,599000,3
3,2.5,2400,81892,2,0,1370,37270,58,592000,3
3,2.75,2200,3885,2,0,2710,6000,55,572000,3
4,2.5,2280,4602,2,0,2280,4193,65,565000,3
4,2,2560,9390,1,1280,1830,8169,80,552625,5
5,3.75,3090,4943,2,0,3191,5561,54,551000,3
4,2.25,2390,40510,1,0,3200,36989,65,545000,4
5,2.5,3100,10189,2,0,2840,10189,71,540000,3
4,2,1560,7104,1.5,420,1850,7105,51,537000,3
4,2.5,2710,12138,1,1010,2390,10052,52,535000,3
4,2.75,2210,10800,1,1040,2210,10800,62,516000,4
3,2.25,1640,8400,1,0,2110,8400,68,515000,4
4,2,2100,12620,1,0,1720,7840,59,500000,4
3,1.75,2130,6360,1,410,1540,6361,66,495500,3
3,2.25,2100,7335,2,0,2050,8930,62,492000,3
3,2.25,2550,8588,1,0,3050,8588,69,490000,3
3,2.5,2120,4512,2,0,2000,4553,74,475226,3
5,1.75,2030,12342,2,0,2500,9433,71,470000,4
4,2,2180,17180,2,0,1880,14043,65,470000,4
4,2.5,3030,47958,1,1370,2740,36017,75,465000,3
4,1.75,2100,50965,1,820,2080,9000,71,457000,5
4,3,1890,13140,1,620,1900,11160,53,450000,4
4,3,2800,6977,2,0,2800,6600,80,449950,3
4,2.5,2170,6000,2,540,1720,5668,65,445000,3
4,1.75,1620,8132,1,0,1920,8400,60,442200,3
2,1,1120,88327,1.5,0,1640,136662,53,435000,4
3,2,1720,128066,1,0,2360,111078,56,427000,3
3,2,2330,6346,1.5,730,1380,8400,56,420000,3
3,2,1250,1306,3,0,1320,1250,67,418000,3
3,1,1220,7771,1,0,1420,7674,71,405000,3
3,3.25,1770,1977,3,0,1860,2210,71,401000,3
3,2.25,1350,944,2,300,1350,1245,53,388500,3
3,2.5,2370,4200,2,0,2370,4200,72,387865,3
4,2.5,2270,11500,1,730,2020,10918,75,380000,3
1,1,1090,5250,1,110,2160,5250,69,375000,3
4,2.25,2330,11400,1,0,2640,10200,79,375000,4
3,1.75,1150,6600,1.5,0,1530,6600,69,370000,4
3,2.5,2200,9696,2,0,2200,9915,57,365000,3
3,2.25,2430,7614,1.5,530,1720,11250,75,365000,3
4,2.5,2800,6820,2,0,2060,6820,57,365000,4
3,2.5,2280,10800,2,0,2380,178160,53,364250,3
3,3,1850,9600,1,620,1970,10000,80,355000,3
3,1.75,2040,8173,1,570,1900,8172,60,355000,3
3,1.75,1360,18123,1,0,1570,16817,52,350000,3
4,2,1570,11200,1,450,1570,11200,51,342000,3
3,1.75,1540,10400,1,0,1090,7500,74,340000,3
4,1,1360,5900,1.5,0,1050,5900,60,329950,4
3,2.5,1780,7859,2,0,1670,6618,72,309000,3
3,2.5,1590,3381,2,0,1820,3383,63,300000,3
3,1,1300,20812,1,0,1210,17340,71,300000,3
3,1.75,1430,4850,1,500,1430,4850,66,284000,3
3,1,860,7632,1,0,890,7632,67,278000,3
3,1,1140,8144,1,0,1150,8144,61,277000,3
3,2.25,2160,9612,2,0,1970,9247,54,277000,3
3,1.75,1300,20700,1,0,1930,37638,78,275000,3
3,1.75,1260,7500,1,420,1340,7500,80,270000,3
3,2.25,1140,977,2,290,1140,976,60,268500,3
3,2.75,1880,1793,2,70,1800,2537,52,268000,3
5,2.25,2600,8075,1.5,0,2200,8800,53,265000,4
3,1,1250,21303,1,0,1250,17920,70,259875,3
3,1,1240,5700,1.5,0,1140,5700,65,238000,5
2,1,880,5600,1,0,1240,7015,79,235000,5
4,2.5,1820,8217,1,700,1310,8217,67,234000,3
3,1.75,1260,10164,1,0,1190,10640,57,230000,4
3,2,1320,5665,1,0,1336,7080,76,225000,3
4,1,1410,7000,1.5,0,1540,7000,68,225000,3
3,1.5,1060,9225,1,0,1270,9375,51,212000,4
4,2,1710,8288,1.5,0,1710,7200,72,211000,3
3,1,1730,7210,1,300,1820,7210,62,210000,3
3,1.75,1490,8000,1,290,1540,8000,78,203000,4
4,1,1470,6061,1.5,0,1230,6175,67,150550,3
5,3.5,4330,11979,1,2240,4320,12000,73,3170000,3
5,4.5,6085,142725,3,0,4830,128457,62,1610000,3
2,2.5,2720,16637,1,560,2880,7320,70,1440000,3
6,5.25,6160,27490,2,2120,4225,9100,78,1280000,3
4,3.25,3850,19842,2,670,4320,19500,66,1200000,3
3,2.5,2550,5100,2,0,1250,4080,68,1100000,3
2,2.25,3900,14864,1,1950,2580,5184,53,1070000,3
2,2,1600,64468,1,0,1950,64468,54,995000,3
5,3.25,4130,7197,2,0,3730,7202,65,995000,3
4,2.5,2950,7024,2,0,2950,6339,52,921800,3
5,2.5,2750,5589,1.5,910,1460,4250,67,915000,5
4,2.5,3400,35062,2,0,2880,9705,69,915000,4
3,2.75,3240,7200,1,1620,2700,7200,75,902000,3
3,2.5,3530,5414,2,0,3220,9234,68,898000,3
4,2.5,4090,11225,2,0,3510,8762,69,885000,3
4,3.75,3610,7904,3,320,2460,7300,64,830005,3
2,2.5,2170,8678,1,0,2170,5890,75,740000,3
3,2,1780,9732,1,0,1900,10200,80,710000,3
2,2.5,2130,5001,1,800,1750,6000,80,707000,5
2,2.5,2380,6600,1,0,1870,6600,53,699800,3
4,2.5,3030,30000,2,0,2600,34932,69,682000,4
5,2.5,2960,8968,1,1320,1890,9077,55,654000,4
3,1,1300,8266,1,0,1300,8707,58,650000,4
3,2.5,2790,31798,1,1140,1400,14849,68,640000,5
4,2.5,2840,6284,2,0,2790,7168,80,636230,3
3,2.5,2000,6341,1,960,2030,6341,53,625000,5
2,1.75,1620,4879,1,580,1500,5000,52,577000,3
4,2.75,2990,4521,2,0,2580,7539,64,564950,3
3,1.75,1650,3200,1.5,0,1500,2400,75,550000,3
4,2.25,2170,10000,1,750,2390,11000,76,546800,3
4,1.75,1940,8990,1,380,2310,11745,66,545000,4
3,1.75,1410,4080,1.5,0,1820,4080,58,541000,4
3,2,1770,7200,1,0,2250,11250,55,514000,4
3,2.25,2210,11585,1,700,1870,14092,65,507000,4
4,2,2730,12000,1,1320,2730,9039,76,505000,4
4,2.5,2430,42646,1,980,2000,38159,70,490000,3
3,2.25,1620,1062,3,0,1560,1728,58,490000,3
3,1.75,1870,25157,2,0,1870,15391,78,475000,3
3,2,1870,8442,1.5,810,1640,6174,74,456000,5
4,2.75,3030,117378,1,1350,2060,110957,62,455000,4
3,1.75,1540,61419,1,0,3790,8529,79,450000,3
3,1.75,1570,8400,1,0,1860,8639,72,439995,4
3,1.75,1250,7030,1,0,1460,7210,72,439000,3
3,3,1520,1884,3,0,1360,1939,60,399000,3
2,2,1170,8251,1,0,1360,6798,61,393820,3
2,1,1270,8164,1,0,1580,9095,65,390000,4
3,1.75,1400,10018,1,0,1350,9300,57,389000,4
5,2.5,2760,11340,2,0,2470,11340,56,380000,4
5,1.5,2050,9360,1,530,1840,9383,56,375000,3
3,2.5,2490,4244,2,0,2490,4748,68,370000,3
4,1,1540,9541,1.5,0,1290,9541,78,370000,4
3,1.75,1830,10000,2,0,1480,10000,72,360000,4
5,2.5,2990,9240,2,0,1970,18110,65,357000,3
3,1.75,1720,10710,1,860,1480,10359,52,340000,3
5,2.75,2166,6342,2,0,2474,5948,74,326000,3
3,2.5,1980,4500,2,0,1980,4500,60,317750,3
4,1.75,2080,8750,1,750,1790,8750,67,300000,4
3,1.75,1810,34500,1,580,2090,9735,52,299500,3
4,3,2120,7650,2,0,2260,7885,57,295000,3
3,1.75,1260,8400,1,0,1290,8750,53,289000,3
2,1,610,4000,1,0,870,5160,73,286000,4
3,1.75,1020,5000,1,0,1360,5000,57,285000,5
2,1,1000,10320,1,0,1100,5160,75,270000,3
3,2.5,1870,5000,2,0,2170,5399,62,270000,3
4,2.5,1820,5000,2,0,2120,21277,75,265000,3
3,1.5,1300,7885,1,0,1840,7600,74,263000,3
3,2,1610,14046,2,0,2410,9000,57,259000,3
3,2.25,1730,9516,1,550,1870,8165,56,257000,3
3,1.5,1490,6604,1,0,1330,6604,76,255000,4
3,1.5,1180,7384,1,0,1150,7455,68,250200,5
3,2.5,1650,2802,2,0,1490,2084,71,250000,3
2,2,1360,3300,2,0,1310,3300,75,222000,3
4,1.5,1430,8775,1,400,1390,7800,56,215000,3
2,1,1000,4500,1,0,980,4837,67,207100,3
4,1,1220,11730,1,0,1270,9520,66,199000,4
3,1,1010,9920,1,0,1270,9680,53,179900,3
2,1,670,5000,1,0,1480,4720,69,107000,4
3,1.5,910,5120,1,0,1410,5132,74,107000,3
4,3.5,4860,23885,2,0,3580,16054,65,2950000,3
4,2.25,2920,20400,1,0,3080,20400,50,1650000,4
4,2.5,4070,7800,3,680,2020,6760,56,1400000,4
4,3.5,4190,15724,2,0,3300,10113,50,1160000,3
3,1.75,2170,12220,1,0,1980,9000,70,907000,5
3,2,2870,6360,1.5,1080,2310,6466,73,810000,4
3,2.5,2760,9471,1,1000,3040,6765,76,800000,3
6,2.5,3250,12000,1,1450,3490,10320,68,779000,3
4,2.75,3630,15405,1,1780,3380,11184,71,769000,4
3,2.5,2270,9822,2,0,2790,8089,75,766000,3
4,2.5,2460,4425,2,0,2990,5659,55,693000,3
5,2.25,2120,4000,1.5,400,1960,4000,78,682000,4
5,3,4180,8561,2,0,3425,6591,76,673200,3
4,2.5,2470,77550,1,0,2490,40894,65,635000,4
3,1.75,2170,153767,1,0,2840,49500,74,585000,3
3,3,1850,12556,2,0,2390,12474,69,565000,3
2,2,1370,1878,3,0,1280,1878,77,548000,3
4,2.5,2080,8504,2,0,2000,6773,73,545000,3
4,2.75,2790,6685,2,0,2790,6444,58,533380,3
4,2.5,2770,21806,2,0,2500,21656,63,533300,3
3,1.5,1580,3172,1,680,1580,5000,68,524500,4
3,1.75,1690,53578,1,0,2290,52707,67,509900,3
2,1,1020,5000,1,0,1480,5000,73,505000,4
3,1,1160,4360,1,0,1810,4360,54,501000,4
3,1.75,2110,10454,1,670,1990,10890,74,483000,4
3,1.5,2100,67269,1,880,1610,15999,63,480000,4
2,1,870,7975,1,0,1080,5722,52,475000,3
4,2.5,3361,5038,2,0,2316,4105,56,471275,3
2,2.25,1210,1267,2,90,1360,1349,74,461100,3
2,1,1220,6000,1,340,1220,6840,77,452000,3
3,1,1200,4000,1.5,0,1390,4000,68,438000,4
3,2,1520,11067,1,380,1280,11371,68,434900,3
3,2.25,1700,7650,1,360,1980,7200,57,419000,4
4,2.25,2240,12650,1,510,2150,12650,78,415000,4
3,1.5,1860,9003,1,370,2090,11574,71,415000,3
3,2.5,1890,6500,2,0,2340,7500,70,409000,3
4,2.5,2030,9095,1,900,1940,8000,74,405000,4
3,2.5,1520,3425,2,0,1640,3425,73,402000,3
4,2.5,2398,5988,2,0,2370,5988,65,400000,3
3,1.75,1920,8775,1,0,1560,8100,59,380000,3
3,2,1860,9100,1.5,0,1620,9519,78,370000,3
3,2.25,1445,1028,2,145,1445,1377,68,366000,3
2,1,990,8250,1,0,1080,8168,54,365000,3
3,1.75,1410,9150,1,0,1800,9940,77,365000,5
5,2.5,2990,7292,2,0,2150,8190,65,339950,4
3,1.75,1560,7500,1,0,1600,7904,56,306000,4
4,2.5,2340,52272,2,0,2480,40500,67,290000,2
3,1.75,1490,8000,1,0,1740,8165,54,275000,3
3,2.25,1830,7651,2,0,2160,8442,73,273000,3
3,1.5,1370,10115,1,0,1450,9282,55,264950,4
3,2,2710,5000,2,0,850,5000,79,260000,3
3,1.75,1670,8511,1,330,1580,7218,78,260000,3
3,1.75,1540,8885,1,100,1540,12734,77,244000,4
1,1,530,6350,1,0,1200,6350,67,238000,5
3,1,1030,7800,1,0,1630,12664,55,229000,3
4,1.75,1630,8000,1,0,1630,7700,80,215000,3
3,1.75,1260,10488,1,150,1540,9120,69,194000,2
3,1,1040,4480,1,170,1730,4200,60,642000,3
5,3.25,4100,7578,2,0,3710,8156,76,890000,3
5,1.75,1320,38125,1,200,2360,15070,76,380000,4
4,2.5,1950,8628,2,0,2210,9019,54,348450,3
3,2,3010,5000,2,1120,2688,5000,79,1100000,5
3,2.25,2580,11060,1,0,2580,13868,76,898000,3
4,2.5,1840,4011,2,0,2120,4011,69,583000,3
3,2.25,1780,9969,1,330,1950,7974,63,450000,3
3,1.5,1050,4590,1,200,1770,5400,76,438924,3
3,2.25,1740,9370,1,350,1740,7555,71,289950,3
4,3.25,3890,25470,2,860,4140,19281,70,2950000,5
4,5,5810,7440,2,2020,3010,7200,62,1880000,3
4,3.75,4410,9231,3,0,2160,6600,74,1440000,3
4,2,2850,14810,2,360,2430,10454,61,993000,5
3,1.5,1250,8710,1,0,1750,9185,78,888000,4
4,2.25,2410,4000,2,760,1820,4000,68,883000,5
4,2,2380,10800,2,0,2112,6600,63,855000,3
4,3.25,4110,14219,2,1540,2760,12283,59,825000,4
4,3.5,3290,8059,2,0,3290,10758,59,801000,3
3,3.5,3190,10223,2,630,3120,9735,68,795000,3
2,2.5,2390,6928,2,580,2390,12852,59,787500,4
5,2.75,3890,9130,2,0,3450,8361,54,772500,3
3,1,1640,6516,1.5,200,1770,4000,57,750000,4
3,1.75,1590,8285,1,0,1970,8970,77,750000,4
4,2.75,2490,3840,1.5,880,1420,4000,57,749500,4
5,3.5,2790,16952,2,820,2980,17281,62,738000,3
4,2.5,3290,5951,2,0,3240,6159,58,728000,3
3,2.5,2980,16996,2,0,2980,15438,76,725000,3
3,2,1880,3000,1,840,1790,3000,68,710000,4
3,1,1750,5355,2,0,2240,4590,79,707900,4
4,3.5,3150,6175,2,0,3150,6986,79,700000,3
4,3,3150,6175,2,0,3150,6986,70,680000,3
4,3,2900,15535,1,1030,2330,10217,50,650000,4
4,2.25,2720,18295,1,720,2720,18295,56,645000,4
3,2.5,1770,3744,1.5,500,1400,4680,50,643002,3
3,2.25,2680,175982,1,0,3170,215186,53,635000,3
3,3.5,1730,1349,3,380,1830,3300,53,635000,3
4,2.75,2090,8400,1,850,2340,9000,68,610000,4
4,2.5,2430,11870,1,840,2430,9600,78,605000,5
3,1.5,1680,13751,1,0,1760,13500,72,572000,4
3,1.5,1980,10203,1,300,1980,13664,70,570000,4
3,2.5,2030,217805,1,0,1870,109468,71,565000,3
5,1,1690,3240,1.5,0,1230,4500,78,544500,3
3,2.5,2830,9972,2,0,3557,9159,53,539000,3
4,3,2240,5580,2,410,1530,4800,71,530000,5
4,2.5,2280,14810,1,780,2690,12196,57,515000,5
2,1,930,3750,1,0,1740,4300,61,500000,4
3,1,1020,6120,1,0,2370,6695,72,485000,3
3,1,960,3600,1,0,1580,5000,72,477000,4
3,1.5,2480,5280,1.5,860,2090,4800,56,475000,5
3,1,1140,4600,1,0,1370,5000,53,460000,3
3,1.75,1550,7270,1.5,0,1050,7210,52,453500,5
3,1,1270,8800,1,0,1560,8250,70,447000,3
3,2.25,1800,7371,1,520,1960,7675,75,425000,3
3,1.75,1770,6000,1,640,1900,7200,63,420000,3
4,2.5,2890,6322,2,0,2380,5738,79,416000,3
3,2.5,1553,1991,3,0,1509,2431,52,412000,3
3,2.5,1830,3200,2,0,1830,3011,73,410000,3
4,3,2430,7163,2,0,2430,6028,55,409950,3
3,2.25,1790,7125,1,570,2040,7950,66,392000,3
2,1,840,5400,1,0,1340,5400,71,389100,4
3,2.25,1630,1598,3,0,1320,1605,72,385000,3
3,1,1540,7740,1,0,1220,7740,76,384950,4
3,2.25,1600,39848,1,0,1600,39848,60,380000,4
3,2.5,1330,1064,3,0,1330,1113,50,375000,3
3,3.25,1410,1442,3,50,1500,1200,73,358000,3
4,1,1430,8400,1,700,1310,8240,60,351000,3
4,3,3380,16133,1,1050,2500,11100,75,350000,3
4,2.25,2700,8580,2,0,2420,8580,62,338150,3
5,3,1980,3868,1,760,1970,3868,80,333800,3
2,1,800,4533,1,200,1720,6800,59,330000,3
5,1,1740,27350,1,0,2760,10749,70,320000,4
3,1.75,1600,14250,1,530,2140,14960,77,316500,3
3,2.5,1320,2614,2,0,1320,2533,74,300000,3
3,2,1310,169448,1,0,1310,8370,67,300000,3
4,2.5,1780,3600,2,0,2020,3802,53,296000,3
3,2.5,1860,5025,2,0,2000,5550,75,294900,3
4,1.75,1440,6720,1,720,1820,6784,77,285000,5
4,2.75,2170,9658,1.5,0,1490,9731,80,275436,3
3,1.75,1710,7210,1,470,1840,7245,79,273148,4
3,1.5,1610,8375,2,0,1610,9107,77,270000,3
3,2.5,1480,9743,2,0,1810,9601,69,269950,4
2,1,770,8612,1,0,1290,8407,70,269000,3
2,1,750,8125,1,0,1340,8750,61,261000,4
3,3,1990,9600,1,550,1670,9600,54,245000,3
4,1,1610,24000,1.5,0,1270,9600,71,235000,3
3,1,1120,7500,1,0,1120,5000,56,230000,3
3,2.5,1520,2550,2,0,1460,2550,65,207000,3
4,1,1220,7980,1.5,0,1210,7920,74,165000,3
3,1,840,8400,1,0,840,9450,54,105000,3
4,2.25,4370,22863,2.5,700,2980,22863,73,2350000,4
4,3.25,5370,20388,2,0,2770,22270,77,1350000,4
4,3.25,4330,26162,2,0,5110,26319,63,1210000,3
4,2.5,3370,10602,2,0,2950,9949,53,1140000,3
4,2.5,3030,6820,2,500,2070,6820,73,998000,3
5,2.75,3170,7062,2,0,3210,6891,61,919950,3
3,2.5,2230,7200,3,0,2230,7200,59,836500,3
4,2.5,3320,52707,2,0,3040,54450,64,813000,3
4,3,2530,4560,1.5,990,1640,4560,78,785950,3
3,1.75,1990,5600,1,660,2630,6780,60,779000,3
3,2.25,2180,4200,1.5,660,1850,4200,54,727000,5
4,2.5,2970,29163,2,0,3100,31105,77,715000,3
4,2.75,2710,41811,1.5,1020,2110,35656,54,710000,4
